,plant_name,CEMS,meanMonthlyEmission,hoursWithData,hoursWithNoData,standard,emission_exceedance,revised_exceedance,charge_for_data,charge_for_nodata
0,ACC Limited,CEMS-1,14.69664485,671,49,30,-15.30335515,0,0,427329
1,ACC Limited,CEMS-2,26.29221981,512,208,50,-23.70778019,0,0,1776528
2,ACC Limited,CEMS-3,8.368519473,673,47,50,-41.63148053,0,0,401427
3,ACC Limited,CEMS-4,15.45083541,611,109,50,-34.54916459,0,0,930969
4,Aarti Steels Ltd,CEMS-1,36.6929039,567,153,100,-63.3070961,0,0,1237923
5,Aarti Steels Ltd,CEMS-2,53.85480324,567,153,100,-46.14519676,0,0,1237923
6,Aarti Steels Ltd,CEMS-3,32.94723154,305,415,50,-17.05276846,0,0,3544515
7,Aarti Steels Ltd,CEMS-4,37.70715015,282,438,50,-12.29284985,0,0,3740958
8,Aarti Steels Ltd,CEMS-5,90.38089395,295,425,100,-9.619106047,0,0,3438675
9,Aarti Steels Ltd,CEMS-6,41.3975278,296,424,100,-58.6024722,0,0,3430584
10,Aarti Steels Ltd,CEMS-7,28.98509191,566,154,100,-71.01490809,0,0,1246014
11,Adhunik Metaliks Ltd.,CEMS-8,32.24717949,47,673,100,-67.75282051,0,0,5445243
12,Adhunik Metaliks Ltd.,CEMS-9,33.12032956,47,673,100,-66.87967044,0,0,5445243
13,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-1,47.1730995,667,53,50,-2.826900499,0,0,452673
14,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-10,46.71310109,668,52,100,-53.28689891,0,0,420732
15,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-2,49.56439425,666,54,50,-0.435605749,0,0,461214
16,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-3,42.51612479,522,198,50,-7.483875205,0,0,1691118
17,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-4,47.67327429,471,249,50,-2.326725713,0,0,2126709
18,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-5,1.130974546,663,57,50,-48.86902545,0,0,486837
19,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-6,1.496831952,667,53,50,-48.50316805,0,0,452673
20,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-7,2.250008412,669,51,50,-47.74999159,0,0,435591
21,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-8,3.247093173,662,58,50,-46.75290683,0,0,495378
22,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-9,44.20335231,559,161,50,-5.796647693,0,0,1375101
23,Aditya Kraft & Papers Pvt. Ltd.,CEMS-1,26.51467292,326,394,100,-73.48532708,0,0,3187854
24,Agrasen Sponge Private Limited,CEMS-1,1.146446835,481,239,100,-98.85355316,0,0,1933749
25,Agrasen Sponge Private Limited,CEMS-2,8.323154101,481,239,100,-91.6768459,0,0,1933749
26,Aryan Ispat and Power Pvt Ltd,CEMS-1,19.76352836,270,450,50,-30.23647164,0,0,3843450
27,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-2,113.4631911,588,132,100,13.46319106,13.46319106,71247.20711,1068012
