,plant_name,CEMS,pollution_charge
0,ACC Limited,CEMS-1,427387.1637506434
1,ACC Limited,CEMS-2,1777413.0353225807
2,ACC Limited,CEMS-3,401488.038
3,ACC Limited,CEMS-4,931558.3334741379
4,Aarti Steels Ltd,CEMS-1,1237923.0
5,Aarti Steels Ltd,CEMS-2,1237923.0
6,Aarti Steels Ltd,CEMS-3,3544515.0
7,Aarti Steels Ltd,CEMS-4,3775424.285392856
8,Aarti Steels Ltd,CEMS-5,3438675.0
9,Aarti Steels Ltd,CEMS-6,3431075.724
10,Aarti Steels Ltd,CEMS-7,1250268.3000000003
11,Adhunik Metaliks Ltd.,CEMS-8,5445243.0
12,Adhunik Metaliks Ltd.,CEMS-9,5445243.0
13,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-1,452673.27
14,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-10,420732.0
15,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-2,466293.32360427297
16,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-3,1691761.9458077033
17,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-4,2135866.3307251683
18,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-5,486837.0
19,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-6,452673.0
20,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-7,435591.0
21,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-8,495378.0
22,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-9,1375167.3246428573
23,Aditya Kraft & Papers Pvt. Ltd.,CEMS-1,3187854.0
24,Agrasen Sponge Private Limited,CEMS-1,1935215.0779874215
25,Agrasen Sponge Private Limited,CEMS-2,1960761.3446540881
26,Aryan Ispat and Power Pvt Ltd,CEMS-1,3844064.1330636605
27,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-2,1740337.9975531537
28,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-3,1035648.0
29,Bhagawati Steels Pvt. Ltd.,CEMS-1,1441367.5177272728
30,Bhaskar Steel and Ferro Alloy Limited,CEMS-1,439009.92
31,Bhubaneshwar Power Pvt. Ltd.,CEMS-1,1394561.16275
32,Bhubaneshwar Power Pvt. Ltd.,CEMS-2,1387727.6805
33,Bhushan Energy Limited,CEMS-1,2741661.0
34,Bhushan Energy Limited,CEMS-2,1150101.6564951355
35,Bhushan Energy Limited,CEMS-3,1127425.17375
36,Bhushan Power and Steel Limited,CEMS-12,452673.0
37,Bhushan Power and Steel Limited,CEMS-13,452673.0
38,Bhushan Power and Steel Limited,CEMS-14,1923109.7644032445
39,Bhushan Power and Steel Limited,CEMS-15,1904831.3955
40,Bhushan Power and Steel Limited,CEMS-16,1904643.0
41,Bhushan Power and Steel Limited,CEMS-17,1862298.4434427016
42,Bhushan Power and Steel Limited,CEMS-19,452673.0
43,Bhushan Power and Steel Limited,CEMS-20,452673.0
44,Bhushan Power and Steel Limited,CEMS-21,1651459.3678880953
45,Bhushan Power and Steel Limited,CEMS-22,6098274.0
46,Bhushan Power and Steel Limited,CEMS-23,427050.0
47,Bhushan Power and Steel Limited,CEMS-24,427050.0
48,Bhushan Power and Steel Limited,CEMS-25,1904831.3955
49,Bhushan Power and Steel Limited,CEMS-26,1904643.0
50,Bhushan Power and Steel Limited,CEMS-27,1889135.419196361
51,Bhushan Power and Steel Limited,CEMS-28,1889135.419196361
52,Bhushan Power and Steel Limited,CEMS-29,1889135.419196361
53,Bhushan Power and Steel Limited,CEMS-30,1904968.2959662222
54,Bhushan Power and Steel Limited,CEMS-31,1911118.3573755038
55,Bhushan Power and Steel Limited,CEMS-32,1889135.4341963609
56,Bhushan Power and Steel Limited,CPP130MWU-1,1862298.4434427016
57,Bhushan Power and Steel Limited,CPP130MWU-2,1889135.419196361
58,Bhushan Power and Steel Limited,CPP40MW,5817429.0
59,Bhushan Power and Steel Limited,CPPUNIT-3,2469005.7892549923
60,Bhushan Power and Steel Limited,DRI-5,1923109.7644032445
61,Bhushan Power and Steel Limited,DRI-6,1879020.0
62,Bhushan Power and Steel Limited,DRI-7,1904831.3955
63,Bhushan Power and Steel Limited,DRI-8,1904643.0
64,Bhushan Power and Steel Limited,PelletPlant,452673.0
65,Bhushan Power and Steel Limited,PelletPlant-2,452673.0
66,Bhushan Power and Steel Limited,WHRB-10,1706672.4285529528
67,Bhushan Power and Steel Limited,WHRB-9,6098274.0
68,Bhushan Steel Limited,CEMS-1,1162675.2216329165
69,Bhushan Steel Limited,CEMS-11,1113602.490741637
70,Bhushan Steel Limited,CEMS-12,1288946.0719112803
71,Bhushan Steel Limited,CEMS-13,1076103.0
72,Bhushan Steel Limited,CEMS-14,1219688.3150154233
73,Bhushan Steel Limited,CEMS-2,2776140.5420000004
74,Bhushan Steel Limited,CEMS-20,1189377.0
75,Bhushan Steel Limited,CEMS-21,1146029.643857143
76,Bhushan Steel Limited,CEMS-26,4941203.100000001
77,Bhushan Steel Limited,CEMS-29,1536256.0861853259
78,Bhushan Steel Limited,CEMS-3,3823589.990075111
79,Bhushan Steel Limited,CEMS-30,3382236.0
80,Bhushan Steel Limited,CEMS-31,1815547.500642857
81,Bhushan Steel Limited,CEMS-6,1144494.0
82,Bhushan Steel Limited,CEMS-7,1128427.9350746754
83,Birla Tyres,CEMS-1,1302651.0
84,Birla Tyres,CEMS-2,1353564.4844210113
85,Birla Tyres,CEMS-3,1262196.0
86,Concast Steel and Power Ltd.,CEMS-5,4085955.0
87,Cracker India Alloys Limited,CEMS-1,1699110.0
88,Emmami Paper Mills Limited,CEMS-1,1339793.412779523
89,Emmami Paper Mills Limited,CEMS-2,1294560.0
90,Essar Power (Odisha) Ltd.,CEMS-1,1323855.0
91,Essar Power (Odisha) Ltd.,CEMS-2,1332770.8078306695
92,Essar Steel India Limited,CEMS-1,1719584.932001248
93,FACOR Power Limited,CEMS-1,1186201.1921063138
94,GMR Kamalanga Energy Ltd,CEMS-1,1084707.0
95,GMR Kamalanga Energy Ltd,CEMS-2,1563003.0
96,GMR Kamalanga Energy Ltd,CEMS-3,1777529.6767973409
97,Ganesh Sponge Pvt. Ltd,CEMS-1,687735.0
98,Goa Carbon Limited,CEMS-1,1213838.9715
99,Govindam Projects Pvt Ltd,CEMS-1,733673.495095601
