,plant_name,CEMS,meanEmission,withData,noData
0,ACC Limited,CEMS-1,14.696644848342753,671,49
1,ACC Limited,CEMS-2,26.292219806941183,512,208
2,ACC Limited,CEMS-3,8.368519473241893,673,47
3,ACC Limited,CEMS-4,15.450835407455088,611,109
4,Aarti Steels Ltd,CEMS-1,36.6929038961039,567,153
5,Aarti Steels Ltd,CEMS-2,53.854803243501166,567,153
6,Aarti Steels Ltd,CEMS-3,32.94723154362416,305,415
7,Aarti Steels Ltd,CEMS-4,37.7071501532176,282,438
8,Aarti Steels Ltd,CEMS-5,90.38089395267323,295,425
9,Aarti Steels Ltd,CEMS-6,41.39752780153982,296,424
10,Aarti Steels Ltd,CEMS-7,28.98509190737641,566,154
11,Adhunik Metaliks Ltd.,CEMS-8,32.24717948717938,47,673
12,Adhunik Metaliks Ltd.,CEMS-9,33.12032955715736,47,673
13,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-1,47.17309950102776,667,53
14,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-10,46.713101088647484,668,52
15,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-2,49.56439425051364,666,54
16,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-3,42.51612479474574,522,198
17,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-4,47.67327428677999,471,249
18,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-5,1.1309745464772898,663,57
19,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-6,1.496831951986278,667,53
20,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-7,2.2500084116080084,669,51
21,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-8,3.2470931730356307,662,58
22,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-9,44.203352307380534,559,161
23,Aditya Kraft & Papers Pvt. Ltd.,CEMS-1,26.514672923744396,326,394
24,Agrasen Sponge Private Limited,CEMS-1,1.1464468354948238,481,239
25,Agrasen Sponge Private Limited,CEMS-2,8.32315410131455,481,239
26,Aryan Ispat and Power Pvt Ltd,CEMS-1,19.7635283551449,270,450
27,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-2,113.46319106429317,588,132
